species,cat_island,variation,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,wsc,bin_island,centroid_lon,centroid_lat,eco_reg_points,eco_reg_polygon,temp_zones_points,temp_zones_polygon,bole_female,bole_male,source
Acacesia_hamata,continent,NA,NA,"USA, Central America, South America",396,171,13604713.39,29777772.94,75.194045,98.68615651,continent,"usa,central america,south america",0,-76.83826162,5.764525778,35,173,11,19,9.1,4.8,"Levi, H. W. (1976). The orb-weaver genera Verrucosa, Acanthepeira, Wagneriana, Acacesia, Wixia, Scoloderus and Alpaida north of Mexico. Bulletin of the Museum of Comparative Zoology 147: 351-391."
Acanthepeira_stellata,island_continent,no,no,"Canada, USA, Mexico",708,286,6331011.296,21357404.83,31.825419,52.05850925,island_continent,"canada,usa,mexico",1,-92.03303084,35.45923104,36,66,8,22,15.1,8.1,"Levi, H. W. (1976). The orb-weaver genera Verrucosa, Acanthepeira, Wagneriana, Acacesia, Wixia, Scoloderus and Alpaida north of Mexico. Bulletin of the Museum of Comparative Zoology 147: 351-391."
Acroaspis_169,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Acroaspis_olorina,continent,no,no,Australia,18,2,0,7691990.893,0,39.01717104,continent,australia,0,116.058611,-31.923056,1,1,1,1,4,,"Karsch, F. (1878c). Exotisch-araneologisches. Zeitschrift für die Gesammten Naturwissenschaften 51: 322-333, 771-826"
Acrosomoides_acrosomoides,island,no,no,Madagascar,40,27,86654.38519,592983.4955,7.781356,0,island,madagascar,1,48.25095915,-18.32082796,3,4,5,8,6,,"Emerit, M. (1974). Arachnides araignées Araneidae Gasteracanthinae. Faune Madagascar 38: 1-215."
Aculepeira_packardi,island_continent,no,no,"North America, Russia, Eastern Europe, Kazakhstan, China",290,48,2909754.92,51602952.57,31.993936,55.78063288,island_continent,"north america,russia,eastern europe,kazakhstan,china",1,-118.043293,45.40485245,17,41,9,19,16.5,8.9,"Levi, H. W. (1977b). The orb-weaver genera Metepeira, Kaira and Aculepeira in America north of Mexico (Araneae, Araneidae). Bulletin of the Museum of Comparative Zoology 148: 185-238"
Acusilas_251,NA,NA,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Acusilas_coccineus,NA,no,no,"India, China, Indonesia",94,NA,NA,,NA,,NA,NA,NA,NA,NA,,,,,,,
Agalenatea_redii,island_continent,yes,yes,"Europe, Turkey, Caucasus, Russia, Europe to South Siberia, Iran, Central Asia, China",8215,6060,11371771.95,41750995.08,32.258317,56.85398309,island_continent,"europe,turkey,caucasus,russia,south siberia,iran,central asia,china",1,30.07635994,48.46667844,40,80,12,11,7,4.5,"Roberts, M. J. (1995). Collins Field Guide: Spiders of Britain & Northern Europe. HarperCollins, London, 383 pp"
Alpaida_bicornuta,continent,yes,yes,"Costa Rica, Panama, South America",0,291,12679945.53,20315045.4,40.248276,84.04525912,continent,"Costa Rica, Panama, South America",0,-58.43148476,-8.602216729,35,90,9,8,10.9,7.7,"Levi, H. W. (1988). The neotropical orb-weaving spiders of the genus Alpaida (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 151(7): 365-487."
Alpaida_delicata,continent,no,no,"Colombia, Peru, Bolivia, Brazil, French Guiana",282,3,0,11982620.85,6.587622,20.61780878,continent,"colombia,peru,bolivia,brazil,french guiana",0,-64.72054,-3.36841,2,4,2,2,6,5.4,"Levi, H. W. (1988). The neotropical orb-weaving spiders of the genus Alpaida (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 151(7): 365-487"
