new_phylo,corrected_name
Acacesia_hamata,Acacesia_hamata
Acanthepeira_stellata,Acanthepeira_stellata
Acroaspis_169,Acroaspis_169
Acroaspis_olorina_182,Acroaspis_olorina
Acrosomoides_acrosomoides_218,Acrosomoides_acrosomoides
Aculepeira_packardi_106,Aculepeira_packardi
Acusilas_251,Acusilas_251
Acusilas_coccineus,Acusilas_coccineus
Agalenatea_redii_239,Agalenatea_redii
Alpaida_delicata_110,Alpaida_delicata
Anepsion_sp_248,Anepsion_sp
Anepsion_sp_255,Anepsion_sp
Arachnura_higginsi_177,Arachnura_higginsi
Arachnura_scorpionoides,Arachnura_scorpionoides
Arachnura_scorpionoides(2),Arachnura_scorpionoides
Araneus_albotriangulus_NGEN09_193,Araneus_albotriangulus
Araneus_bicentenarius,Araneus_bicentenarius
Araneus_bradleyi_NGEN01_158,Plebs_bradleyi
Araneus_cavaticus,Araneus_cavaticus
Araneus_cyphoxis_NGEN01_241,Plebs_cyphoxis
Araneus_diadematus,Araneus_diadematus
Araneus_diadematus(2),Araneus_diadematus
Araneus_dimidiatus_NGEN04_198,Leviana_dimidiatus
Araneus_eburneiventris_NGEN05_189,Araneus_eburneiventris
Araneus_gemmoides,Araneus_gemmoides
Araneus_marmoreus_269,Araneus_marmoreus
Araneus_mitificus_NGEN11_203,Bijoaraneus_mitificus
Araneus_mulierarius_NGEN04_186,Leviana_mulieraria
Araneus_necopinus_NGEN10_195,Quokkaraneus_necopinus
Araneus_praesignis_NGEN11_204,Bijoaraneus_praesignis
Araneus_quadratus,Araneus_quadratus
Araneus_recherchensis_NGEN03_183,Salsa_recherchensis
Araneus_rotundulus_NGEN08_192,Araneus_rotundulus
Araneus_senicaudatus_NGEN06_190,Socca_senicaudatus
Araneus_talipedatus_NGEN07_191,Araneus_talipedatus
Araneus_ventricosus,Araneus_ventricosus
Araniella_cucurbitina,Araniella_cucurbitina
Araniella_displicata,Araniella_displicata
Araniella_displicata(2),Araniella_displicata
Aranoethra_cambridgi_180,Aranoethra_cambridgei
Archemorus_155,Archemorus_sp
Archemorus_253,Archemorus_sp
Argiope_aetherea,Argiope_aetherea
Argiope_aetherea(2),Argiope_aetherea
Argiope_aetherea(2)(2),Argiope_aetherea
Argiope_appensa,Argiope_appensa
Argiope_appensa(2),Argiope_appensa
Argiope_argentata,Argiope_argentata
Argiope_aurantia,Argiope_aurantia
Argiope_hoiseni,Argiope_hoiseni
Argiope_ocyaloides,Argiope_ocyaloides
Argiope_ocyaloides(2),Argiope_ocyaloides
Argiope_protensa,Argiope_protensa
Argiope_protensa(2),Argiope_protensa
