species,polymorphism
Cryptachaea_blattea,no
Parasteatoda_tabulata,no
Parasteatoda_tepidariorum,no
Achaearanea_trapezoidalis,no
Ameridion_petrum,no
Anelosimus_agnar,no
Anelosimus_amelie,no
Anelosimus_analyticus,no
Anelosimus_arizona,no
Kochiura_aulica,no
Anelosimus_baeza,no
Anelosimus_bali,no
Anelosimus_decaryi,yes
Anelosimus_domingo,NA
Anelosimus_dubiosus,no
Anelosimus_eidur,yes
Anelosimus_elegans,no
Anelosimus_ethicus,NA
Anelosimus_eximius,no
Anelosimus_guacamayos,no
Anelosimus_jabaquara,yes
Anelosimus_jucundus,no
Anelosimus_kohi,yes
Anelosimus_linda,no
Anelosimus_luckyi,no
Anelosimus_may,no
Anelosimus_nigrescens,yes
Anelosimus_octavius,no
Anelosimus_oritoyacu,no
Anelosimus_pacificus,no
Anelosimus_pomio,no
Anelosimus_potmosbi,no
Anelosimus_pratchetti,no
Anelosimus_rupununi,yes
Anelosimus_studiosus,no
Anelosimus_tosus,no
Anelosimus_studiosus,no
Argyrodes_argentatus,no
Faiditus_chickeringi,no
Argyrodes_flavescens,no
Neospintharus_trigonum,no
Ariamnes_attenuatus,no
Ariamnes_cylindrogaster,no
Asagena_phalerata,no
Canalidion_montanum,no
Cerocida_strigosa,no
Chikunia_albipes,yes
Chikunia_nigra,yes
Chikunia_albipes,yes
Coleosoma_octomaculatum ,no
Coleosoma_acutiventer,no
Crustulina_sticta,polytipic
Cryptachaea_blattea,yes
Cryptachaea_riparia,no
Cryptachaea_veruculata,no
Dipoena_hortoni,no
Dipoena_nigra,no
Echinotheridion_otlum,no
Euryopis_funebris,no
Enoplognatha_bryjai,no
Enoplognatha_caricis,no
Enoplognatha_intrepida,no
Enoplognatha_margarita,no
Enoplognatha_ovata,yes
Episinus_affinis,no
Episinus_angulatus,no
Episinus_nubilus,no
Euryopis_funebris,no
Exalbidion_pallisterorum,no
Platnickina_alabamensis,no
Platnickina_mneon,no
Platnickina_punctosparsa,no
Kochiura_rosea,no
Lasaeola_prona,no
Lasaeola_tristis,no
Latrodectus_antheratus,no
Latrodectus_bishopi,no
Latrodectus_corallinus,no
Latrodectus_diaguita,no
Latrodectus_geometricus,no
Latrodectus_hasselti,no
Latrodectus_hesperus,no
Latrodectus_katipo,no
Latrodectus_mactans,no
Latrodectus_menavodi,no
Latrodectus_mirabilis,no
Latrodectus_pallidus,no
Latrodectus_renivulvatus,yes
Latrodectus_revivensis,no
Latrodectus_rhodesiensis,no
Latrodectus_thoracicus,no
Latrodectus_tredecimguttatus,no
Latrodectus_variegatus,no
Latrodectus_variolus,no
Neospintharus_trigonum,no
Neottiura_bimaculata,no
Nesticodes_rufipes,no
Ohlertidion_ohlerti,no
Paidiscura_pallens,yes
Parasteatoda_tabulata,no
Parasteatoda_tepidariorum,no
Pholcomma_hirsutum,no
Phoroncidia_americana,no
Phycosoma_mustelinum,no
Phylloneta_impressa,no
Rhomphaea_metaltissima,no
Robertus_borealis,no
Robertus_fuscus,no
Robertus_lividus,no
Robertus_lyrifer,no
Robertus_neglectus,no
Rugathodes_aurantius,no
Rugathodes_sexpunctatus,no
Sardinidion_blackwalli,no
Simitidion_simile,no
Spintharus_flavidus,no
Steatoda_bipunctata,no
Steatoda_borealis,no
Steatoda_capensis,no
Steatoda_castanea,no
Steatoda_cingulata,no
Steatoda_triangulosa,no
Stemmops_nipponicus,no
Styposis_selis,no
Takayus_latifolius,no
Yunohamella_lyrica,no
Takayus_quadrimaculatus,no
Takayus_takayensis,no
Theridion_acutitarse,no
Theridion_albidum,no
Theridion_calcynatum,no
Theridion_californicum,yes
Theridion_differens,yes
Theridion_flavonotatum,no
Theridion_frondeum,yes
Cryptachaea_gigantipes,no
Theridion_glaucescens,no
Theridion_grallator,yes
Theridion_kauaiense,no
Theridion_longipedatum,no
Theridion_melanostictum,NA
Theridion_melanurum,yes
Theridion_murarium,no
Theridion_nigroannulatum,no
Ohlertidion_ohlerti,no
Yunohamella_palmgreni,no
Theridion_pennsylvanicum,no
Phylloneta_pictipes,no
Theridion_pictum,no
Theridion_pinastri,no
Theridion_posticatum,yes
Theridion_saanichum,no
Theridion_sangzhiense,no
Theridion_theridioides,no
Theridion_varians,yes
Theridula_emertoni,no
Theridula_opulenta,no
Thymoites_bellissimus,no
Thymoites_unimaculatus,no
Tidarren_sisyphoides,no
Phycosoma_mustelinum,no
Wamba_crispulus,no
