species,cat_island,polymorphism,WSC_ISO3
Acacesia_hamata,continent,NA,"USA, Central America, South America"
Acanthepeira_stellata,island_continent,no,"Canada, USA, Mexico"
Acroaspis_169,NA,NA,NA
Acroaspis_olorina,continent,no,Australia
Acrosomoides_acrosomoides,island,no,Madagascar
Aculepeira_packardi,island_continent,no,"North America, Russia, Eastern Europe, Kazakhstan, China"
Acusilas_251,NA,NA,NA
Acusilas_coccineus,NA,no,"India, China, Indonesia"
Agalenatea_redii,island_continent,yes,"Europe, Turkey, Caucasus, Russia, Europe to South Siberia, Iran, Central Asia, China"
Alpaida_delicata,continent,no,"Colombia, Peru, Bolivia, Brazil, French Guiana"
Ameridion_petrum,continent,no,Panama
Ameridion_sp,NA,NA,NA
Anelosimus_agnar,island,no,Malaysia
Anelosimus_amelie,island,no,Comoros
Anelosimus_analyticus,continent,no,USA
Anelosimus_arizona,continent,no,USA
Anelosimus_baeza,continent,no,"mexico, central America, South america"
Anelosimus_bali,island,no,Bali
Anelosimus_decaryi,island,yes,"Seychelles (Aldabra), Mayotte"
Anelosimus_domingo,continent,NA,"Colombia, venezuela, Suriname and Peru"
Anelosimus_dubiosus,continent,no,Brazil
Anelosimus_eidur,island,yes,New Guinea
Anelosimus_elegans,continent,no,"Mexico, Central America and South America"
Anelosimus_ethicus,continent,NA,Brazil
Anelosimus_eximius,island,no,Lesser Antilles
Anelosimus_guacamayos,continent,no,Ecuador
Anelosimus_jabaquara,continent,yes,Brazil
Anelosimus_jucundus,continent,no,"Mexico, Central America and South America"
Anelosimus_kohi,island,yes,Malaysia
Anelosimus_linda,island,no,Malaysia
Anelosimus_may,island,no,Madagascar
Anelosimus_nigrescens,continent,yes,Guyana
Anelosimus_nr,NA,NA,NA
Anelosimus_octavius,continent,no,"Mexico, central america"
Anelosimus_oritoyacu,continent,no,"Mexico, central america, Ecuador, Colombia"
Anelosimus_pacificus,continent,no,Mexico to Costa Rica
Anelosimus_pomio,island,no,Papua New Guinea
Anelosimus_potmosbi,island,no,New Guinea
Anelosimus_pratchetti,continent,no,Australia
Anelosimus_rupununi,continent,yes,"Trinidad, surinam, french guayana, guayana, Brazil"
