species,cat_island,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,area_country_pointsCountry,wsc
Acacesia_hamata,continent,NA,"USA, Central America, South America",396,171,13604713.39,29777772.94,75.194045,98.68615651,continent,4791270.651,"usa,central america,south america"
Acanthepeira_stellata,island_continent,no,"Canada, USA, Mexico",708,286,6331011.296,21357404.83,31.825419,52.05850925,island_continent,6103077.243,"canada,usa,mexico"
Acroaspis_169,NA,NA,NA,0,,,,,,,,
Acroaspis_olorina,continent,no,Australia,18,2,0,7691990.893,0,39.01717104,continent,2526727.456,australia
Acrosomoides_acrosomoides,island,no,Madagascar,40,27,86654.38519,592983.4955,7.781356,0,island,275742.798,madagascar
Aculepeira_packardi,island_continent,no,"North America, Russia, Eastern Europe, Kazakhstan, China",290,48,2909754.92,51602952.57,31.993936,55.78063288,island_continent,4199113.076,"north america,russia,eastern europe,kazakhstan,china"
Acusilas_251,NA,NA,NA,0,,,,,,,,
Acusilas_coccineus,NA,no,"India, China, Indonesia",94,,,,,,,,
Agalenatea_redii,island_continent,yes,"Europe, Turkey, Caucasus, Russia, Europe to South Siberia, Iran, Central Asia, China",8215,6060,11371771.95,41751044.33,32.258317,82.10629988,island_continent,16860071.6,"europe,turkey,caucasus,russia,south siberia,iran,central asia,china"
Alpaida_delicata,continent,no,"Colombia, Peru, Bolivia, Brazil, French Guiana",282,3,0,11982620.85,6.587622,20.61780878,continent,2054339.347,"colombia,peru,bolivia,brazil,french guiana"
Ameridion_petrum,continent,no,Panama,7,,,,,,,,
Ameridion_sp,NA,NA,NA,0,,,,,,,,
Anelosimus_agnar,island,no,Malaysia,0,,,,,,,,
Anelosimus_amelie,island,no,Comoros,3,,,,,,,,
Anelosimus_analyticus,continent,no,USA,12,,,,,,,,
Anelosimus_arizona,continent,no,USA,3,,,,,,,,
Anelosimus_baeza,continent,no,"mexico, central America, South america",63,5,877447.304,20315045.4,32.867611,84.04525912,continent,137492.5587,"mexico,central america,south america"
Anelosimus_bali,island,no,Bali,1,,,,,,,,
Anelosimus_decaryi,island,yes,"Seychelles (Aldabra), Mayotte",7,,,,,,,,
Anelosimus_domingo,continent,NA,"Colombia, venezuela, Suriname and Peru",28,,,,,,,,
Anelosimus_dubiosus,continent,no,Brazil,5,1,0,8470788.47,0,0,continent,98225.48135,brazil
Anelosimus_eidur,island,yes,New Guinea,3,,,,,,,,
Anelosimus_elegans,continent,no,"Mexico, Central America and South America",14,,,,,,,,
Anelosimus_ethicus,continent,NA,Brazil,11,3,490984.3762,8470788.47,18.914557,0,continent,714349.4452,brazil
Anelosimus_eximius,island,no,Lesser Antilles,279,,,,,,,,
Anelosimus_guacamayos,continent,no,Ecuador,16,,,,,,,,
Anelosimus_jabaquara,continent,yes,Brazil,8,,,,,,,,
Anelosimus_jucundus,continent,no,"Mexico, Central America and South America",294,1,0,20315045.4,0,84.04525912,continent,9773.924231,"mexico,central america,south america"
